codigos;productos;uxb;fair_ventas;burzaco_ventas;a_korn_ventas;tucuman_ventas;fair_stock;burzaco_stock;a_korn_stock;tucuman_stock;cdistrib;ventas;stock
480595;AGUA DE MESA LOS REYUNOS x 10lts;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
473414;AGUA MICELAR ALGABO x200ML;12;2.91;0.25;0.16;0.0;-6.66;2.58;1.16;2.08;0.0;3.33;-0.83
478012;AGUA MICELAR ALGABO x400cc;12;1.75;0.16;0.5;0.0;0.0;0.0;1.08;0.0;0.0;2.41;1.08
469368;AGUA MICELAR TEATRICAL VARIOS x600cc;1;1.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;1.0;5.0
471633;AGUA MINERAL BENEDICTINO C/GAS x1.5L;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
477814;AGUA MINERAL CELESTIAL 2.250CC;6;0.0;0.0;0.0;0.0;0.0;1.5;1.16;0.0;0.0;0.0;2.66
6135;AGUA MINERAL CIMES BIDON x6L;1;519.0;248.0;301.0;9.0;394.0;241.0;240.0;11.0;420.0;1077.0;1306.0
472949;AGUA MINERAL CIMES x2Lt;6;55.0;29.16;20.66;1.0;75.66;63.83;12.33;28.83;795.0;105.83;975.66
474896;AGUA MINERAL CIMES x600ml;6;0.0;1.33;10.5;0.0;128.5;17.16;52.16;0.0;0.0;11.83;197.83
10663;AGUA MINERAL GLACIAR 1.5LT;6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
477191;AGUA MINERAL GLACIAR S/G 500CC;12;0.0;0.0;0.0;0.0;0.0;0.0;22.33;0.0;0.0;0.0;22.33
10522;AGUA MINERAL GLACIAR x2Lt;6;0.0;0.0;0.0;1.0;0.0;1.66;-1.33;8.5;0.0;1.0;8.83
12154;AGUA MINERAL KIN C/GAS x500ml;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2431;AGUA MINERAL MANAOS CORAZON B/S 1.5L;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
474538;AGUA MINERAL NESTLE x1.5Lt;6;0.0;0.0;0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.16;0.0
474536;AGUA MINERAL NESTLE x2.25Lt;6;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
476719;AGUA MINERAL PARICE BIDON x10Lt;1;0.0;0.0;119.0;0.0;0.0;0.0;6.0;0.0;0.0;119.0;6.0
476397;AGUA MINERAL Q2 BIDON x6lt;2;210.0;0.0;0.0;0.0;186.0;0.0;0.0;0.0;0.0;210.0;186.0
474592;AGUA MINERAL Q2 BOT 600cc;12;0.0;0.25;0.0;0.0;1.58;0.0;13.83;0.0;0.0;0.25;15.41
461027;AGUA MINERAL SAN MIGUEL x2.5L;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
471922;AGUA MINERAL SAN MIGUEL x6.5Lt;1;0.0;0.0;0.0;136.0;0.0;0.0;0.0;694.0;0.0;136.0;694.0
160;AGUA MINERAL VILLAMANAOS BIDON x6L;1;168.0;106.0;258.0;3.0;168.0;106.0;98.0;35.0;168.0;535.0;575.0
154;AGUA MINERAL VILLAMANAOS x2Lt;6;335.0;231.5;255.5;14.5;269.5;149.66;191.66;75.16;560.0;836.5;1246.0
159;AGUA MINERAL VILLAMANAOS x600ml;12;98.91;61.58;57.75;3.66;108.08;70.58;-26.75;16.33;265.0;221.91;433.25
8493;AGUA OXIGENADA CAPI DOREE VOL30x100C;1;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
2484;AGUA OXIGENADA COPEA X250CC;20;3.5;0.5;0.0;0.0;6.85;1.35;59.85;0.0;0.0;4.0;68.05
